N,Посада,Мова програмування,Спеціалізація,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Університет,Ще студент,Рівень англійської,Предметна область,Дата заповнення,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
17,,,,4.0,1.0,2875,0,,,,,24,,,False,,,,,4.0,1.0,2875,,,580.1
18,,,,1.0,1.0,574,274,,,,,23,,,False,,,,,1.0,1.0,574,,,146.7
19,,,,4.0,0.5,3300,600,,,,,22,,,True,,,,,4.0,0.5,3300,,,725.1
20,,,,4.0,4.0,1800,150,,,,,30,,,False,,,,,4.0,4.0,1800,,,381.6
21,,,,3.0,1.0,900,200,,,,,40,,,False,,,,,3.0,1.0,900,,,206.9
22,,,,3.1646325459317586,7.0,2500,0,,,,,33,,,False,,,,,10.0,7.0,2500,,,508.2164632545931
23,,,,2.0,0.5,800,400,,,,,22,,,False,,,,,2.0,0.5,800,,,205.0
24,,,,5.0,1.0,800,200,,,,,31,,,False,,,,,5.0,1.0,800,,,186.7
25,,,,6.0,1.0,2800,0,,,,,31,,,False,,,,,6.0,1.0,2800,,,567.0
26,,,,6.0,1.0,3000,0,,,,,26,,,False,,,,,6.0,1.0,3000,,,606.6
27,,,,3.1646325459317586,8.0,4500,0,,,,,29,,,False,,,,,10.0,8.0,4500,,,908.5164632545932
28,,,,7.0,1.5,1200,200,,,,,29,,,False,,,,,7.0,1.5,1200,,,267.4
29,,,,0.25,0.25,350,0,,,,,22,,,False,,,,,0.25,0.25,350,,,75.2
30,,,,5.0,1.0,3000,500,,,,,27,,,False,,,,,5.0,1.0,3000,,,656.9
31,,,,0.5,0.5,460,160,,,,,17,,,False,,,,,0.5,0.5,460,,,113.0
32,,,,3.0,1.0,800,200,,,,,30,,,False,,,,,3.0,1.0,800,,,187.0
33,,,,4.0,3.0,1880,200,,,,,28,,,False,,,,,4.0,3.0,1880,,,403.5
34,,,,3.1646325459317586,5.0,3500,0,,,,,31,,,False,,,,,10.0,5.0,3500,,,708.8164632545931
35,,,,6.0,4.0,3620,300,,,,,25,,,False,,,,,6.0,4.0,3620,,,762.0
36,,,,1.0,1.0,350,350,,,,,26,,,False,,,,,1.0,1.0,350,,,111.6
37,,,,1.0,0.5,550,500,,,,,24,,,False,,,,,1.0,0.5,550,,,166.4
38,,,,4.0,1.7654267970401691,2300,400,,,,,26,,,False,,,,,4.0,0.0,2300,,,507.376542679704
39,,,,4.0,3.0,1000,200,,,,,27,,,False,,,,,4.0,3.0,1000,,,228.0
40,,,,2.0,2.0,800,150,,,,,27,,,False,,,,,2.0,2.0,800,,,182.5
41,,,,3.0,1.5,450,150,,,,,27,,,False,,,,,3.0,1.5,450,,,112.7
42,,,,5.0,5.0,2500,500,,,,,26,,,False,,,,,5.0,5.0,2500,,,558.8
43,,,,5.0,1.0,3230,380,,,,,25,,,False,,,,,5.0,1.0,3230,,,692.0
44,,,,2.0,1.7654267970401691,1200,500,,,,,23,,,False,,,,,2.0,0.0,1200,,,297.276542679704
45,,,,6.0,4.0,3400,250,,,,,36,,,False,,,,,6.0,4.0,3400,,,715.1
46,,,,8.0,1.0,4000,500,,,,,28,,,False,,,,,8.0,1.0,4000,,,859.2
47,,,,5.0,1.0,3500,2000,,,,,21,,,False,,,,,5.0,1.0,3500,,,908.0
48,,,,0.5,0.5,350,150,,,,,26,,,False,,,,,0.5,0.5,350,,,92.6
49,,,,1.0,0.5,1000,0,,,,,43,,,False,,,,,1.0,0.5,1000,,,209.5
50,,,,4.0,3.0,1650,150,,,,,28,,,False,,,,,4.0,3.0,1650,,,354.2
51,,,,8.0,0.5,3500,150,,,,,30,,,False,,,,,8.0,0.5,3500,,,724.8
52,,,,1.5,1.5,1050,350,,,,,22,,,False,,,,,1.5,1.5,1050,,,253.0
53,,,,3.1646325459317586,4.0,4500,0,,,,,35,,,False,,,,,10.0,4.0,4500,,,910.9164632545932
54,,,,5.0,2.0,450,150,,,,,27,,,False,,,,,5.0,2.0,450,,,114.5
55,,,,6.0,3.0,3000,500,,,,,24,,,False,,,,,6.0,3.0,3000,,,659.7
56,,,,6.0,6.0,2550,150,,,,,35,,,False,,,,,6.0,6.0,2550,,,536.5
57,,,,6.0,4.0,1000,200,,,,,29,,,False,,,,,6.0,4.0,1000,,,230.6
58,,,,3.0,1.5,1800,500,,,,,25,,,False,,,,,3.0,1.5,1800,,,419.2
59,,,,2.0,1.5,2850,850,,,,,23,,,True,,,,,2.0,1.5,2850,,,664.0
60,,,,3.0,3.0,1100,200,,,,,23,,,False,,,,,3.0,3.0,1100,,,249.5
61,,,,1.0,1.7654267970401691,700,0,,,,,40,,,False,,,,,1.0,10.0,700,,,151.476542679704
62,,,,3.0,1.0,1800,600,,,,,27,,,False,,,,,3.0,1.0,1800,,,429.7
63,,,,4.0,1.7654267970401691,3400,1600,,,,,26,,,False,,,,,4.0,0.0,3400,,,849.8765426797039
64,,,,7.0,4.0,4000,500,,,,,34,,,False,,,,,7.0,4.0,4000,,,862.0
65,,,,5.0,2.0,1800,300,,,,,35,,,False,,,,,5.0,2.0,1800,,,401.4
66,,,,5.0,4.0,2390,1000,,,,,29,,,False,,,,,5.0,4.0,2390,,,589.3
67,,,,3.0,3.0,700,200,,,,,22,,,True,,,,,3.0,3.0,700,,,170.2
68,,,,1.5,1.0,1000,400,,,,,28,,,False,,,,,1.5,1.0,1000,,,250.1
69,,,,1.5,0.5,900,900,,,,,21,,,True,,,,,1.5,0.5,900,,,279.5
70,,,,3.0,3.0,1875,400,,,,,25,,,False,,,,,3.0,3.0,1875,,,425.7
71,,,,3.0,1.5,1100,0,,,,,25,,,False,,,,,3.0,1.5,1100,,,230.5
72,,,,3.0,2.0,2300,500,,,,,27,,,False,,,,,3.0,2.0,2300,,,520.9
73,,,,3.1646325459317586,1.7654267970401691,250,0,,,,,25,,,False,,,,,0.0,0.0,250,,,60.293005934297184
74,,,,2.0,0.5,1700,950,,,,,25,,,False,,,,,2.0,0.5,1700,,,445.4
75,,,,0.25,1.7654267970401691,230,58,,,,,27,,,False,,,,,0.25,0.0,230,,,62.22654267970402
76,,,,6.0,0.25,4000,0,,,,,25,,,False,,,,,6.0,0.25,4000,,,811.35
77,,,,5.0,3.0,4400,800,,,,,26,,,False,,,,,5.0,3.0,4400,,,971.9
78,,,,6.0,5.0,2400,200,,,,,32,,,False,,,,,6.0,5.0,2400,,,513.2
79,,,,2.0,1.5,500,100,,,,,25,,,False,,,,,2.0,1.5,500,,,121.1
80,,,,6.0,1.0,3800,300,,,,,25,,,False,,,,,6.0,1.0,3800,,,801.9
81,,,,0.5,0.5,350,0,,,,,28,,,False,,,,,0.5,0.5,350,,,81.1
82,,,,4.0,3.0,1800,200,,,,,27,,,False,,,,,4.0,3.0,1800,,,392.3
83,,,,0.5,0.5,300,100,,,,,17,,,False,,,,,0.5,0.5,300,,,80.2
84,,,,8.0,1.0,3000,500,,,,,30,,,False,,,,,8.0,1.0,3000,,,663.2
85,,,,2.0,1.0,400,0,,,,,26,,,False,,,,,2.0,1.0,400,,,91.7
86,,,,6.0,0.5,4500,1200,,,,,27,,,False,,,,,6.0,0.5,4500,,,1032.6
87,,,,0.5,0.5,500,500,,,,,24,,,False,,,,,0.5,0.5,500,,,161.3
88,,,,0.5,0.5,600,0,,,,,19,,,True,,,,,0.5,0.5,600,,,131.0
89,,,,2.0,1.0,1600,200,,,,,22,,,True,,,,,2.0,1.0,1600,,,351.8
90,,,,2.0,1.5,850,300,,,,,21,,,True,,,,,2.0,1.5,850,,,211.9
91,,,,4.0,4.0,2800,400,,,,,35,,,False,,,,,4.0,4.0,2800,,,614.2
92,,,,1.0,1.0,1000,400,,,,,33,,,False,,,,,1.0,1.0,1000,,,252.9
93,,,,3.0,2.0,1500,600,,,,,29,,,False,,,,,3.0,2.0,1500,,,373.2
94,,,,3.1646325459317586,0.5,4200,1800,,,,,32,,,False,,,,,10.0,0.5,4200,,,1034.0164632545932
95,,,,4.0,0.5,1700,300,,,,,27,,,False,,,,,4.0,0.5,1700,,,383.1
96,,,,0.5,0.5,640,0,,,,,29,,,False,,,,,0.5,0.5,640,,,140.7
97,,,,2.0,1.0,1000,250,,,,,23,,,False,,,,,2.0,1.0,1000,,,237.6
98,,,,2.0,1.0,1200,400,,,,,21,,,True,,,,,2.0,1.0,1200,,,292.6
99,,,,4.0,0.5,2600,1800,,,,,25,,,False,,,,,4.0,0.5,2600,,,713.3
100,,,,3.1646325459317586,7.0,3900,0,,,,,32,,,False,,,,,10.0,7.0,3900,,,795.9164632545932
101,,,,1.5,1.0,1000,400,,,,,21,,,True,,,,,1.5,1.0,1000,,,252.8
102,,,,2.0,2.0,1650,450,,,,,27,,,False,,,,,2.0,2.0,1650,,,388.7
103,,,,1.5,1.0,800,400,,,,,31,,,False,,,,,1.5,1.0,800,,,213.9
104,,,,4.0,2.0,1800,200,,,,,33,,,False,,,,,4.0,2.0,1800,,,394.9
105,,,,2.0,2.0,900,250,,,,,25,,,False,,,,,2.0,2.0,900,,,218.8
106,,,,0.5,0.5,450,140,,,,,34,,,False,,,,,0.5,0.5,450,,,118.2
107,,,,1.0,1.0,800,300,,,,,20,,,True,,,,,1.0,1.0,800,,,203.2
108,,,,9.0,1.7654267970401691,3700,200,,,,,32,,,False,,,,,9.0,0.0,3700,,,775.976542679704
109,,,,9.0,1.7654267970401691,3500,500,,,,,29,,,False,,,,,9.0,0.0,3500,,,765.776542679704
110,,,,7.0,7.0,600,40,,,,,35,,,False,,,,,7.0,7.0,600,,,141.3
111,,,,2.0,2.0,1150,400,,,,,29,,,False,,,,,2.0,2.0,1150,,,284.8
112,,,,3.1646325459317586,1.7654267970401691,4150,150,,,,,33,,,False,,,,,10.0,10.0,4150,,,861.9930059342972
113,,,,1.0,1.0,650,300,,,,,23,,,False,,,,,1.0,1.0,650,,,174.0
114,,,,5.0,1.7654267970401691,3500,500,,,,,28,,,False,,,,,5.0,0.0,3500,,,765.376542679704
115,,,,1.5,0.5,685,250,,,,,21,,,False,,,,,1.5,0.5,685,,,176.0
116,,,,1.5,1.7654267970401691,700,350,,,,,33,,,False,,,,,1.5,0.0,700,,,190.37654267970402
117,,,,5.0,0.25,3200,200,,,,,25,,,False,,,,,5.0,0.25,3200,,,675.25
118,,,,1.5,5.0,480,80,,,,,29,,,False,,,,,1.5,5.0,480,,,120.0
119,,,,3.0,0.5,2250,0,,,,,29,,,False,,,,,3.0,0.5,2250,,,465.5
120,,,,7.0,5.0,1800,0,,,,,32,,,False,,,,,7.0,5.0,1800,,,377.6
121,,,,0.25,1.7654267970401691,500,0,,,,,22,,,False,,,,,0.25,0.0,500,,,114.52654267970402
122,,,,8.0,2.0,450,0,,,,,34,,,False,,,,,8.0,2.0,450,,,107.6
123,,,,9.0,9.0,550,95,,,,,30,,,False,,,,,9.0,9.0,550,,,138.4
124,,,,3.0,1.5,2350,550,,,,,25,,,False,,,,,3.0,1.5,2350,,,540.8
125,,,,3.0,1.5,1700,300,,,,,27,,,False,,,,,3.0,1.5,1700,,,386.1
126,,,,1.5,1.5,750,250,,,,,26,,,False,,,,,1.5,1.5,750,,,190.8
127,,,,5.0,3.0,2100,100,,,,,31,,,False,,,,,5.0,3.0,2100,,,447.4
128,,,,4.0,3.0,1000,150,,,,,30,,,False,,,,,4.0,3.0,1000,,,232.2
129,,,,4.0,2.0,2000,600,,,,,24,,,False,,,,,4.0,2.0,2000,,,476.5
130,,,,3.1646325459317586,9.0,1500,200,,,,,29,,,False,,,,,10.0,9.0,1500,,,339.01646325459313
131,,,,8.0,2.0,4100,0,,,,,30,,,False,,,,,8.0,2.0,4100,,,838.1
132,,,,3.0,3.0,2000,1000,,,,,26,,,False,,,,,3.0,3.0,2000,,,517.0
133,,,,3.1646325459317586,4.0,4950,500,,,,,35,,,False,,,,,10.0,4.0,4950,,,1058.916463254593
134,,,,0.5,0.5,750,0,,,,,29,,,False,,,,,0.5,0.5,750,,,166.5
135,,,,9.0,2.0,1300,0,,,,,40,,,False,,,,,9.0,2.0,1300,,,279.7
136,,,,3.1646325459317586,8.0,3400,0,,,,,34,,,False,,,,,10.0,8.0,3400,,,699.9164632545932
137,,,,7.0,0.25,2500,800,,,,,34,,,False,,,,,7.0,0.25,2500,,,598.55
138,,,,9.0,0.5,3500,0,,,,,33,,,False,,,,,9.0,0.5,3500,,,719.0
139,,,,3.0,0.5,500,0,,,,,26,,,False,,,,,3.0,0.5,500,,,117.2
140,,,,2.0,2.0,1950,1150,,,,,22,,,True,,,,,2.0,2.0,1950,,,522.1
141,,,,1.0,1.0,4000,500,,,,,28,,,False,,,,,1.0,1.0,4000,,,867.3
142,,,,5.0,5.0,2500,500,,,,,25,,,False,,,,,5.0,5.0,2500,,,568.7
143,,,,6.0,1.7654267970401691,3000,1000,,,,,28,,,False,,,,,6.0,0.0,3000,,,718.476542679704
144,,,,1.0,1.0,750,250,,,,,21,,,True,,,,,1.0,1.0,750,,,192.0
145,,,,9.0,6.0,5800,800,,,,,30,,,False,,,,,9.0,6.0,5800,,,1260.5
146,,,,9.0,1.7654267970401691,4100,700,,,,,31,,,False,,,,,9.0,0.0,4100,,,909.676542679704
147,,,,3.0,1.5,1800,400,,,,,25,,,False,,,,,3.0,1.5,1800,,,418.1
148,,,,6.0,3.0,2500,0,,,,,28,,,False,,,,,6.0,3.0,2500,,,519.4
149,,,,4.0,1.7654267970401691,2400,600,,,,,29,,,False,,,,,4.0,0.0,2400,,,558.776542679704
150,,,,5.0,5.0,1450,0,,,,,36,,,False,,,,,5.0,5.0,1450,,,310.6
151,,,,4.0,1.7654267970401691,2800,1000,,,,,25,,,False,,,,,4.0,0.0,2800,,,678.5765426797041
152,,,,1.5,0.5,400,200,,,,,27,,,False,,,,,1.5,0.5,400,,,118.3
153,,,,3.1646325459317586,7.0,8500,500,,,,,35,,,False,,,,,10.0,7.0,8500,,,1771.516463254593
154,,,,2.0,1.0,1200,0,,,,,34,,,False,,,,,2.0,1.0,1200,,,259.4
155,,,,4.0,4.0,1200,300,,,,,25,,,False,,,,,4.0,4.0,1200,,,289.6
156,,,,2.0,0.25,1000,400,,,,,26,,,False,,,,,2.0,0.25,1000,,,258.65
157,,,,5.0,2.0,2300,300,,,,,27,,,False,,,,,5.0,2.0,2300,,,509.8
158,,,,0.25,0.25,700,0,,,,,21,,,False,,,,,0.25,0.25,700,,,158.0
159,,,,3.0,1.0,1067,500,,,,,29,,,False,,,,,3.0,1.0,1067,,,283.0
160,,,,1.0,0.25,1200,900,,,,,23,,,False,,,,,1.0,0.25,1200,,,348.55
161,,,,3.1646325459317586,3.0,3550,200,,,,,29,,,False,,,,,10.0,3.0,3550,,,750.9164632545932
162,,,,1.5,1.5,1000,0,,,,,27,,,False,,,,,1.5,1.5,1000,,,219.5
163,,,,0.5,0.5,500,0,,,,,20,,,True,,,,,0.5,0.5,500,,,118.6
164,,,,5.0,2.0,2600,500,,,,,27,,,False,,,,,5.0,2.0,2600,,,590.5
165,,,,1.0,1.0,470,0,,,,,32,,,False,,,,,1.0,1.0,470,,,114.1
166,,,,0.5,1.7654267970401691,400,300,,,,,24,,,True,,,,,0.5,0.0,400,,,129.37654267970402
167,,,,3.0,2.0,600,200,,,,,37,,,False,,,,,3.0,2.0,600,,,161.4
168,,,,5.0,1.7654267970401691,2500,500,,,,,27,,,False,,,,,5.0,0.0,2500,,,570.676542679704
169,,,,2.0,2.0,670,70,,,,,26,,,False,,,,,2.0,2.0,670,,,161.3
170,,,,1.0,1.0,570,0,,,,,29,,,False,,,,,1.0,1.0,570,,,134.3
171,,,,3.0,1.5,2200,500,,,,,26,,,False,,,,,3.0,1.5,2200,,,510.6
172,,,,0.25,0.25,800,0,,,,,25,,,False,,,,,0.25,0.25,800,,,179.8
173,,,,4.0,4.0,1200,300,,,,,26,,,False,,,,,4.0,4.0,1200,,,291.5
174,,,,1.5,0.25,800,350,,,,,31,,,False,,,,,1.5,0.25,800,,,215.85
175,,,,3.1646325459317586,3.0,1300,115,,,,,42,,,False,,,,,10.0,3.0,1300,,,295.11646325459316
176,,,,1.5,1.5,600,100,,,,,33,,,False,,,,,1.5,1.5,600,,,151.5
177,,,,4.0,1.5,1500,0,,,,,28,,,False,,,,,4.0,1.5,1500,,,321.6
178,,,,3.0,3.0,1075,137,,,,,26,,,False,,,,,3.0,3.0,1075,,,250.3
179,,,,3.0,0.5,1500,750,,,,,24,,,False,,,,,3.0,0.5,1500,,,396.0
180,,,,4.0,4.0,2000,200,,,,,25,,,False,,,,,4.0,4.0,2000,,,442.1
181,,,,1.5,1.5,600,100,,,,,23,,,True,,,,,1.5,1.5,600,,,151.1
182,,,,2.0,1.5,1400,600,,,,,28,,,False,,,,,2.0,1.5,1400,,,361.7
183,,,,2.0,1.5,400,50,,,,,25,,,False,,,,,2.0,1.5,400,,,106.5
184,,,,4.0,0.5,2000,500,,,,,24,,,False,,,,,4.0,0.5,2000,,,471.7
185,,,,4.0,0.5,2375,300,,,,,26,,,False,,,,,4.0,0.5,2375,,,527.0
186,,,,3.1646325459317586,0.25,2600,0,,,,,39,,,False,,,,,10.0,0.25,2600,,,543.8664632545931
187,,,,6.0,6.0,2500,400,,,,,28,,,False,,,,,6.0,6.0,2500,,,563.9
188,,,,5.0,3.0,3000,500,,,,,30,,,False,,,,,5.0,3.0,3000,,,673.4
189,,,,4.0,0.5,1800,300,,,,,36,,,False,,,,,4.0,0.5,1800,,,413.4
190,,,,3.0,5.0,4000,500,,,,,28,,,False,,,,,3.0,5.0,4000,,,873.4
191,,,,5.0,2.0,1300,300,,,,,29,,,False,,,,,5.0,2.0,1300,,,313.4
192,,,,2.0,0.5,1550,1000,,,,,21,,,True,,,,,2.0,0.5,1550,,,431.9
193,,,,3.1646325459317586,1.7654267970401691,2200,0,,,,,42,,,False,,,,,10.0,10.0,2200,,,465.99300593429723
194,,,,3.0,1.5,2300,800,,,,,23,,,False,,,,,3.0,1.5,2300,,,562.6
195,,,,2.0,1.0,1000,600,,,,,20,,,False,,,,,2.0,1.0,1000,,,282.1
196,,,,6.0,4.0,3800,760,,,,,24,,,False,,,,,6.0,4.0,3800,,,860.0
197,,,,1.0,0.5,250,250,,,,,25,,,False,,,,,1.0,0.5,250,,,97.5
198,,,,2.0,2.0,250,0,,,,,35,,,False,,,,,2.0,2.0,250,,,74.1
199,,,,6.0,0.5,3000,-1000,,,,,28,,,False,,,,,6.0,0.5,3000,,,524.0
200,,,,8.0,0.25,3500,0,,,,,30,,,False,,,,,8.0,0.25,3500,,,724.65
201,,,,0.5,0.5,1150,400,,,,,21,,,True,,,,,0.5,0.5,1150,,,292.5
202,,,,3.0,4.0,2000,200,,,,,24,,,False,,,,,3.0,4.0,2000,,,444.0
203,,,,3.1646325459317586,2.0,3500,0,,,,,32,,,False,,,,,10.0,2.0,3500,,,725.2164632545931
204,,,,5.0,1.0,1520,0,,,,,28,,,False,,,,,5.0,1.0,1520,,,328.4
205,,,,7.0,3.0,2000,1000,,,,,29,,,False,,,,,7.0,3.0,2000,,,525.4
206,,,,3.1646325459317586,0.25,5000,1950,,,,,34,,,False,,,,,10.0,0.25,5000,,,1220.366463254593
207,,,,6.0,1.5,3700,200,,,,,27,,,False,,,,,6.0,1.5,3700,,,784.9
208,,,,3.1646325459317586,7.0,3100,0,,,,,31,,,False,,,,,10.0,7.0,3100,,,646.6164632545931
209,,,,4.0,3.0,2050,1350,,,,,22,,,False,,,,,4.0,3.0,2050,,,569.5
210,,,,5.0,3.0,3500,500,,,,,26,,,False,,,,,5.0,3.0,3500,,,775.2
211,,,,1.5,0.5,600,300,,,,,22,,,False,,,,,1.5,0.5,600,,,173.7
212,,,,4.0,0.5,2100,200,,,,,36,,,False,,,,,4.0,0.5,2100,,,465.7
213,,,,8.0,0.5,500,0,,,,,36,,,False,,,,,8.0,0.5,500,,,126.6
214,,,,3.1646325459317586,3.0,3600,0,,,,,36,,,False,,,,,10.0,3.0,3600,,,746.9164632545932
215,,,,1.0,1.0,400,150,,,,,23,,,False,,,,,1.0,1.0,400,,,119.2
216,,,,3.0,1.7654267970401691,2700,1200,,,,,25,,,False,,,,,3.0,0.0,2700,,,684.876542679704
217,,,,5.0,5.0,344,30,,,,,27,,,False,,,,,5.0,5.0,344,,,98.2
218,,,,8.0,2.0,2900,150,,,,,26,,,False,,,,,8.0,2.0,2900,,,621.4
219,,,,4.0,2.0,1000,0,,,,,23,,,False,,,,,4.0,2.0,1000,,,225.4
220,,,,3.1646325459317586,4.0,3000,100,,,,,36,,,False,,,,,10.0,4.0,3000,,,637.7164632545931
221,,,,1.0,1.0,650,100,,,,,24,,,False,,,,,1.0,1.0,650,,,164.9
222,,,,1.0,1.0,500,150,,,,,20,,,True,,,,,1.0,1.0,500,,,139.7
223,,,,1.0,0.25,800,500,,,,,22,,,False,,,,,1.0,0.25,800,,,234.75
224,,,,4.0,3.0,2500,0,,,,,28,,,False,,,,,4.0,3.0,2500,,,526.6
225,,,,6.0,0.5,1500,100,,,,,34,,,False,,,,,6.0,0.5,1500,,,337.2
226,,,,7.0,7.0,2400,200,,,,,28,,,False,,,,,7.0,7.0,2400,,,528.2
227,,,,3.0,1.7654267970401691,1500,0,,,,,26,,,False,,,,,3.0,0.0,1500,,,326.076542679704
228,,,,2.0,1.5,1300,500,,,,,26,,,False,,,,,2.0,1.5,1300,,,336.1
229,,,,6.0,4.0,2000,0,,,,,30,,,False,,,,,6.0,4.0,2000,,,427.9
230,,,,6.0,6.0,1900,200,,,,,29,,,False,,,,,6.0,6.0,1900,,,428.3
231,,,,6.0,3.0,2500,500,,,,,28,,,False,,,,,6.0,3.0,2500,,,577.7
232,,,,5.0,2.0,2500,300,,,,,29,,,False,,,,,5.0,2.0,2500,,,557.5
233,,,,3.1646325459317586,4.0,3300,0,,,,,31,,,False,,,,,10.0,4.0,3300,,,688.5164632545932
234,,,,5.0,1.0,3300,0,,,,,29,,,False,,,,,5.0,1.0,3300,,,687.5
235,,,,8.0,0.25,5000,1000,,,,,31,,,False,,,,,8.0,0.25,5000,,,1128.25
236,,,,0.5,0.5,330,0,,,,,25,,,False,,,,,0.5,0.5,330,,,92.3
237,,,,3.0,2.0,2000,200,,,,,35,,,False,,,,,3.0,2.0,2000,,,448.2
238,,,,0.25,0.25,250,250,,,,,24,,,False,,,,,0.25,0.25,250,,,101.3
239,,,,3.0,1.0,1900,800,,,,,27,,,False,,,,,3.0,1.0,1900,,,487.4
240,,,,3.0,2.0,900,150,,,,,26,,,False,,,,,3.0,2.0,900,,,222.6
241,,,,2.0,2.0,1900,300,,,,,29,,,False,,,,,2.0,2.0,1900,,,437.8
242,,,,2.0,9.0,1000,600,,,,,29,,,True,,,,,2.0,9.0,1000,,,289.4
243,,,,1.0,1.0,1100,550,,,,,23,,,False,,,,,1.0,1.0,1100,,,302.0
244,,,,9.0,9.0,3200,500,,,,,30,,,False,,,,,9.0,9.0,3200,,,721.0
245,,,,3.0,0.5,4000,2000,,,,,26,,,False,,,,,3.0,0.5,4000,,,1027.8
246,,,,1.0,1.0,700,350,,,,,26,,,False,,,,,1.0,1.0,700,,,202.6
247,,,,5.0,1.7654267970401691,2200,1000,,,,,25,,,False,,,,,5.0,0.0,2200,,,568.376542679704
248,,,,5.0,0.5,2500,700,,,,,29,,,False,,,,,5.0,0.5,2500,,,598.8
249,,,,3.1646325459317586,6.0,1800,0,,,,,38,,,False,,,,,10.0,6.0,1800,,,391.2164632545932
250,,,,0.5,0.5,225,125,,,,,23,,,False,,,,,0.5,0.5,225,,,85.0
251,,,,3.0,0.5,1500,600,,,,,25,,,False,,,,,3.0,0.5,1500,,,388.3
252,,,,3.0,2.0,2900,900,,,,,27,,,False,,,,,3.0,2.0,2900,,,698.9
253,,,,3.1646325459317586,1.0,2500,500,,,,,31,,,False,,,,,10.0,1.0,2500,,,579.9164632545932
254,,,,5.0,5.0,2600,200,,,,,29,,,False,,,,,5.0,5.0,2600,,,570.3
255,,,,3.0,2.0,2500,700,,,,,26,,,False,,,,,3.0,2.0,2500,,,599.1
256,,,,3.0,2.0,2400,1400,,,,,22,,,False,,,,,3.0,2.0,2400,,,648.8
257,,,,7.0,1.0,4000,500,,,,,29,,,False,,,,,7.0,1.0,4000,,,880.2
258,,,,1.5,1.5,1450,500,,,,,31,,,False,,,,,1.5,1.5,1450,,,369.5
259,,,,1.5,1.7654267970401691,1700,860,,,,,30,,,False,,,,,1.5,0.0,1700,,,455.376542679704
260,,,,4.0,2.0,1900,0,,,,,27,,,False,,,,,4.0,2.0,1900,,,409.9
261,,,,4.0,1.0,1900,200,,,,,31,,,False,,,,,4.0,1.0,1900,,,430.2
262,,,,5.0,1.7654267970401691,1400,400,,,,,31,,,False,,,,,5.0,0.0,1400,,,350.47654267970404
263,,,,6.0,4.0,2300,300,,,,,30,,,False,,,,,6.0,4.0,2300,,,521.3
264,,,,8.0,8.0,3000,0,,,,,28,,,False,,,,,8.0,8.0,3000,,,632.4
265,,,,3.0,0.5,2600,600,,,,,28,,,False,,,,,3.0,0.5,2600,,,610.0
266,,,,5.0,2.0,2200,0,,,,,29,,,False,,,,,5.0,2.0,2200,,,470.9
267,,,,2.0,6.0,1000,0,,,,,28,,,False,,,,,2.0,6.0,1000,,,231.1
268,,,,1.5,1.0,500,350,,,,,24,,,False,,,,,1.5,1.0,500,,,164.7
269,,,,2.0,1.7654267970401691,1400,500,,,,,32,,,False,,,,,2.0,0.0,1400,,,360.676542679704
270,,,,2.0,1.5,1900,500,,,,,27,,,False,,,,,2.0,1.5,1900,,,460.4
271,,,,1.0,1.0,270,110,,,,,22,,,True,,,,,1.0,1.0,270,,,94.8
